merchant,category,sub_category,occurrence_count,active_months,avg_amount,total_amount,first_payment_date,last_payment_date,median_days_between,recurrence_pattern,is_recurring
Zomato,Food & Dining,Food delivery,76,11,413.59,31433.21,2025-04-01,2026-03-22,2.0,Frequent,1
Amazon,Shopping,E-commerce,19,9,1157.32,21989.12,2025-04-20,2026-03-02,10.0,Frequent,1
Swiggy,Food & Dining,Food delivery,48,10,346.62,16638.0,2025-04-05,2026-03-31,4.0,Frequent,1
Indian Railways,Travel,Metro/Rail,5,3,2279.6,11398.0,2025-05-13,2026-03-01,55.5,Repeating,1
Airtel,Utilities,Telecom/Bills,16,11,568.18,9090.82,2025-04-20,2026-03-24,21.0,Monthly,1
Netflix,Subscriptions,Streaming/App subscription,12,12,649.0,7788.0,2025-04-01,2026-03-01,31.0,Monthly,1
Zepto,Shopping,E-commerce,19,8,377.16,7165.95,2025-04-20,2026-03-27,6.0,Frequent,1
Delhi Metro,Travel,Metro/Rail,36,8,104.44,3760.0,2025-04-01,2026-03-30,6.0,Frequent,1
Bank Charges,Miscellaneous,Bank charges,7,7,184.49,1291.41,2025-05-17,2026-03-24,36.5,Monthly,1
Apple Services,Subscriptions,Streaming/App subscription,2,2,479.5,959.0,2025-04-15,2026-01-29,289.0,Repeating,1
